Species;Isolate;Substrate;Dish;Radius;MeasureRadius_7D;MeasureRadius_1D
C_boninense;C10;SNA;D2;R1;2.8;0.4
C_boninense;C10;SNA;D2;R2;2.7;0.385714286
C_boninense;C10;SNA;D2;R3;2.7;0.385714286
C_boninense;C10;SNA;D2;R4;2.8;0.4
C_boninense;C10;SNA;D3;R1;2.7;0.385714286
C_boninense;C10;SNA;D3;R2;2.8;0.4
C_boninense;C10;SNA;D3;R3;2.7;0.385714286
C_boninense;C10;SNA;D3;R4;2.9;0.414285714
C_boninense;C10;SNA;D4;R1;2.8;0.4
C_boninense;C10;SNA;D4;R2;2.7;0.385714286
C_boninense;C10;SNA;D4;R3;2.8;0.4
C_boninense;C10;SNA;D4;R4;2.8;0.4
C_boninense;C10;OA;D1;R1;3.2;0.457142857
C_boninense;C10;OA;D1;R2;3.3;0.471428571
C_boninense;C10;OA;D1;R3;3.1;0.442857143
C_boninense;C10;OA;D1;R4;3.3;0.471428571
C_boninense;C10;OA;D2;R1;3.4;0.485714286
C_boninense;C10;OA;D2;R2;3.3;0.471428571
C_boninense;C10;OA;D2;R3;3.2;0.457142857
C_boninense;C10;OA;D2;R4;3.3;0.471428571
C_boninense;C10;OA;D3;R1;3.2;0.457142857
C_boninense;C10;OA;D3;R2;3.4;0.485714286
C_boninense;C10;OA;D3;R3;3.2;0.457142857
C_boninense;C10;OA;D3;R4;3.2;0.457142857
C_boninense;C10;OA;D4;R1;3.4;0.485714286
C_boninense;C10;OA;D4;R2;3.4;0.485714286
C_boninense;C10;OA;D4;R3;3.2;0.457142857
C_boninense;C10;OA;D4;R4;3.2;0.457142857
C_cattleyicola;C19;PDA;D1;R1;4.3;0.614285714
C_cattleyicola;C19;PDA;D1;R2;4.4;0.628571429
C_cattleyicola;C19;PDA;D1;R3;4.3;0.614285714
C_cattleyicola;C19;PDA;D1;R4;4.5;0.642857143
C_cattleyicola;C19;PDA;D2;R1;4.3;0.614285714
C_cattleyicola;C19;PDA;D2;R2;4.5;0.642857143
C_cattleyicola;C19;PDA;D2;R3;4.4;0.628571429
C_cattleyicola;C19;PDA;D2;R4;4.3;0.614285714
C_cattleyicola;C19;PDA;D3;R1;4.3;0.614285714
C_cattleyicola;C19;PDA;D3;R2;4.5;0.642857143
C_cattleyicola;C19;PDA;D3;R3;4.4;0.628571429
C_cattleyicola;C19;PDA;D3;R4;4.3;0.614285714
C_cattleyicola;C19;PDA;D4;R1;4.3;0.614285714
C_cattleyicola;C19;PDA;D4;R2;4.4;0.628571429
